Time	Current
-0.1	-0.22
-0.099	0.02
-0.098	-0.22
-0.097	0.02
-0.096	-0.22
-0.095	-0.02
-0.094	-0.22
-0.093	-0.02
-0.092	-0.22
-0.091	-0.02
-0.09	-0.22
-0.089	0.02
-0.088	-0.22
-0.087	-0.02
-0.086	-0.22
-0.085	0.02
-0.084	-0.22
-0.083	-0.02
-0.082	-0.22
-0.081	0.02
-0.08	-0.22
-0.079	0.02
-0.078	-0.22
-0.077	-0.02
-0.076	-0.22
-0.075	-0.02
-0.074	-0.22
-0.073	0.02
-0.072	-0.22
-0.071	0.02
-0.07	-0.22
-0.069	-0.02
-0.068	-0.22
-0.067	-0.02
-0.066	-0.22
-0.065	-0.02
-0.064	-0.22
-0.063	0.02
-0.062	-0.22
-0.061	-0.02
-0.06	-0.22
-0.059	-0.02
-0.058	-0.22
-0.057	0.02
-0.056	-0.22
-0.055	0.02
-0.054	-0.22
-0.053	-0.02
-0.052	-0.22
-0.051	0.02
-0.05	-0.22
-0.049	-0.02
-0.048	-0.22
-0.047	0.02
-0.046	-0.22
-0.045	-0.02
-0.044	-0.22
-0.043	-0.02
-0.042	-0.22
-0.041	0.02
-0.04	-0.22
-0.039	-0.02
-0.038	-0.22
-0.037	-0.02
-0.036	-0.22
-0.035	-0.02
-0.034	-0.22
-0.033	0.02
-0.032	-0.22
-0.031	-0.02
-0.03	-0.22
-0.029	-0.02
-0.028	-0.22
-0.027	0.02
-0.026	-0.22
-0.025	-0.02
-0.024	-0.22
-0.023	-0.02
-0.022	-0.22
-0.021	0.02
-0.02	-0.22
-0.019	-0.02
-0.018	-0.22
-0.017	-0.02
-0.016	-0.22
-0.015	-0.02
-0.014	-0.22
-0.013	-0.02
-0.012	-0.22
-0.011	-0.02
-0.01	-0.22
-0.009	-0.02
-0.008	-0.22
-0.007	-0.02
-0.006	-0.22
-0.005	0.02
-0.004	-0.22
-0.003	-0.02
-0.002	-1.3
-0.001	0.66
0	-1.46
0.001	1.18
0.002	0.14
0.003	0.5
0.004	0.34
0.005	0.7
0.006	0.5
0.007	0.86
0.008	0.7
0.009	1.02
0.01	0.82
0.011	1.18
0.012	0.98
0.013	1.3
0.014	1.1
0.015	1.42
0.016	1.26
0.017	1.58
0.018	1.38
0.019	1.7
0.02	1.46
0.021	1.78
0.022	1.58
0.023	1.9
0.024	1.7
0.025	2.02
0.026	1.82
0.027	2.1
0.028	1.9
0.029	2.18
0.03	2.02
0.031	2.26
0.032	2.06
0.033	2.34
0.034	2.14
0.035	2.42
0.036	2.18
0.037	2.42
0.038	1.74
0.039	2.38
0.04	0.38
0.041	1.9
0.042	-0.06
0.043	1.54
0.044	0.9
0.045	1.18
0.046	0.98
0.047	1.26
0.048	1.06
0.049	1.38
0.05	1.14
0.051	1.42
0.052	1.26
0.053	1.54
0.054	1.18
0.055	1.7
0.056	1.46
0.057	1.82
0.058	1.62
0.059	2.14
0.06	1.82
0.061	2.22
0.062	2.06
0.063	2.42
0.064	2.26
0.065	2.62
0.066	2.46
0.067	2.82
0.068	2.62
0.069	2.94
0.07	2.78
0.071	3.14
0.072	2.94
0.073	3.3
0.074	3.1
0.075	3.38
0.076	3.22
0.077	3.5
0.078	3.34
0.079	3.58
0.08	3.42
0.081	3.66
0.082	3.46
0.083	3.74
0.084	3.5
0.085	3.78
0.086	3.58
0.087	3.82
0.088	3.62
0.089	3.86
0.09	3.66
0.091	3.86
0.092	3.66
0.093	3.9
0.094	3.7
0.095	3.9
0.096	3.7
0.097	3.94
0.098	3.7
0.099	3.94
0.1	3.74
0.101	3.94
0.102	3.74
0.103	3.98
0.104	3.74
0.105	3.98
0.106	3.74
0.107	3.98
0.108	3.7
0.109	3.98
0.11	3.74
0.111	3.98
0.112	3.74
0.113	3.98
0.114	3.74
0.115	3.98
0.116	3.74
0.117	3.98
0.118	3.74
0.119	3.98
0.12	3.74
0.121	3.98
0.122	3.74
0.123	3.98
0.124	3.74
0.125	3.98
0.126	3.74
0.127	3.98
0.128	3.7
0.129	4.02
0.13	3.74
0.131	3.98
0.132	3.74
0.133	3.98
0.134	3.74
0.135	3.98
0.136	3.74
0.137	3.98
0.138	3.74
0.139	3.98
0.14	3.74
0.141	3.98
0.142	3.74
0.143	3.98
0.144	3.74
0.145	3.98
0.146	3.74
0.147	3.98
0.148	3.74
0.149	3.98
0.15	3.74
0.151	3.98
0.152	3.74
0.153	3.98
0.154	3.74
0.155	3.98
0.156	3.74
0.157	3.98
0.158	3.74
0.159	3.98
0.16	3.74
0.161	3.98
0.162	3.74
0.163	3.98
0.164	3.74
0.165	3.98
0.166	3.74
0.167	3.98
0.168	3.74
0.169	3.98
0.17	3.74
0.171	3.98
0.172	3.74
0.173	3.98
0.174	3.74
0.175	3.98
0.176	3.74
0.177	3.98
0.178	3.74
0.179	3.98
0.18	3.74
0.181	3.98
0.182	3.74
0.183	3.98
0.184	3.7
0.185	3.98
0.186	3.74
0.187	3.98
0.188	3.74
0.189	3.98
0.19	3.74
0.191	3.98
0.192	3.74
0.193	3.98
0.194	3.74
0.195	3.98
0.196	3.7
0.197	3.98
0.198	3.74
0.199	3.98
0.2	3.74
0.201	3.98
0.202	3.74
0.203	3.98
0.204	3.74
0.205	3.98
0.206	3.74
0.207	3.98
0.208	3.74
0.209	3.98
0.21	3.7
0.211	3.98
0.212	3.74
0.213	3.98
0.214	3.74
0.215	3.98
0.216	3.74
0.217	3.98
0.218	3.74
0.219	3.98
0.22	3.74
0.221	3.98
0.222	3.74
0.223	3.98
0.224	3.74
0.225	3.98
0.226	3.74
0.227	3.98
0.228	3.74
0.229	3.98
0.23	3.74
0.231	3.98
0.232	3.74
0.233	3.98
0.234	3.74
0.235	3.98
0.236	3.74
0.237	3.98
0.238	3.74
0.239	3.98
0.24	3.74
0.241	3.98
0.242	3.74
0.243	3.98
0.244	3.74
0.245	3.98
0.246	3.74
0.247	3.98
0.248	3.74
0.249	3.98
0.25	3.74
0.251	3.98
0.252	3.74
0.253	3.98
